id,target,creator,description
https://geoconnex.us/iow/usbr/rise/locations/3711,https://data.usbr.gov/location/3711,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3624,https://data.usbr.gov/location/3624,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3626,https://data.usbr.gov/location/3626,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3524,https://data.usbr.gov/location/3524,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3523,https://data.usbr.gov/location/3523,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3521,https://data.usbr.gov/location/3521,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3520,https://data.usbr.gov/location/3520,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3571,https://data.usbr.gov/location/3571,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3516,https://data.usbr.gov/location/3516,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3518,https://data.usbr.gov/location/3518,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3525,https://data.usbr.gov/location/3525,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3517,https://data.usbr.gov/location/3517,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3519,https://data.usbr.gov/location/3519,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3522,https://data.usbr.gov/location/3522,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3581,https://data.usbr.gov/location/3581,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3277,https://data.usbr.gov/location/3277,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3409,https://data.usbr.gov/location/3409,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3406,https://data.usbr.gov/location/3406,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3408,https://data.usbr.gov/location/3408,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3410,https://data.usbr.gov/location/3410,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3411,https://data.usbr.gov/location/3411,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3412,https://data.usbr.gov/location/3412,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3414,https://data.usbr.gov/location/3414,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3413,https://data.usbr.gov/location/3413,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3415,https://data.usbr.gov/location/3415,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3407,https://data.usbr.gov/location/3407,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3734,https://data.usbr.gov/location/3734,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3670,https://data.usbr.gov/location/3670,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3650,https://data.usbr.gov/location/3650,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3644,https://data.usbr.gov/location/3644,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/275,https://data.usbr.gov/location/275,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3674,https://data.usbr.gov/location/3674,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3667,https://data.usbr.gov/location/3667,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3640,https://data.usbr.gov/location/3640,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3730,https://data.usbr.gov/location/3730,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/1,https://data.usbr.gov/location/1,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3695,https://data.usbr.gov/location/3695,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3685,https://data.usbr.gov/location/3685,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/257,https://data.usbr.gov/location/257,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/274,https://data.usbr.gov/location/274,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/268,https://data.usbr.gov/location/268,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/281,https://data.usbr.gov/location/281,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/269,https://data.usbr.gov/location/269,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/287,https://data.usbr.gov/location/287,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/294,https://data.usbr.gov/location/294,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/331,https://data.usbr.gov/location/331,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/334,https://data.usbr.gov/location/334,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/337,https://data.usbr.gov/location/337,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/342,https://data.usbr.gov/location/342,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/345,https://data.usbr.gov/location/345,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/357,https://data.usbr.gov/location/357,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/402,https://data.usbr.gov/location/402,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/372,https://data.usbr.gov/location/372,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/379,https://data.usbr.gov/location/379,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/390,https://data.usbr.gov/location/390,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/388,https://data.usbr.gov/location/388,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/391,https://data.usbr.gov/location/391,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/429,https://data.usbr.gov/location/429,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/318,https://data.usbr.gov/location/318,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3691,https://data.usbr.gov/location/3691,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3514,https://data.usbr.gov/location/3514,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3515,https://data.usbr.gov/location/3515,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3679,https://data.usbr.gov/location/3679,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3511,https://data.usbr.gov/location/3511,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3231,https://data.usbr.gov/location/3231,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3233,https://data.usbr.gov/location/3233,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3242,https://data.usbr.gov/location/3242,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3241,https://data.usbr.gov/location/3241,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3240,https://data.usbr.gov/location/3240,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3239,https://data.usbr.gov/location/3239,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3238,https://data.usbr.gov/location/3238,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
https://geoconnex.us/iow/usbr/rise/locations/3237,https://data.usbr.gov/location/3237,konda@lincolninst.edu,temporary URIs for USBR Rise system locations
