id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1,http://selfie.cuahsi.org/GLEON_LakeAnnie/1,acastronova@cuahsi.org,GLEON_Lake Annie Buoy,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/2,http://selfie.cuahsi.org/GLEON_LakeAnnie/2,acastronova@cuahsi.org,GLEON_Lake Annie Dock,27.21,-81.34906,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/3,http://selfie.cuahsi.org/GLEON_LakeAnnie/3,acastronova@cuahsi.org,GLEON_Lake Annie Archbold Main Grounds Weather Station,27.182,-81.351,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1100,http://selfie.cuahsi.org/GLEON_LakeAnnie/1100,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Plus_10.0M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1100?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1020,http://selfie.cuahsi.org/GLEON_LakeAnnie/1020,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Plus_02.0M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1020?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1010,http://selfie.cuahsi.org/GLEON_LakeAnnie/1010,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Plus_01.0M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1010?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1005,http://selfie.cuahsi.org/GLEON_LakeAnnie/1005,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Plus_00.5M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1005?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1002,http://selfie.cuahsi.org/GLEON_LakeAnnie/1002,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Plus_00.25M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1002?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/1001,http://selfie.cuahsi.org/GLEON_LakeAnnie/1001,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Plus_00.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/1001?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1001,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1001,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_00.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1001?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1011,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1011,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_01.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1011?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1012,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1012,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_01.2M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1012?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1013,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1013,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_01.35M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1013?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1021,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1021,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_02.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1021?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1031,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1031,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_03.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1031?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1041,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1041,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_04.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1041?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1051,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1051,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_05.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1051?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1061,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1061,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_06.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1061?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1071,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1071,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_07.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1071?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1081,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1081,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_08.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1081?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1091,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1091,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_09.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1091?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1101,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1101,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_10.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1101?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1111,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1111,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_11.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1111?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1121,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1121,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_12.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1121?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1131,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1131,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_13.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1131?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1141,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1141,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_14.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1141?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1151,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1151,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_15.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1151?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1161,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1161,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_16.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1161?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1171,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1171,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_17.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1171?f=${C:f:1}
https://geoconnex.us/cuahsi/his/GLEON_LakeAnnie/-1181,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1181,acastronova@cuahsi.org,GLEON_Lake Annie Buoy_Stage_Minus_18.1M,27.2077,-81.352,QueryString,f?=.*,http://selfie.cuahsi.org/GLEON_LakeAnnie/-1181?f=${C:f:1}
