"id","target","creator","description","c1_type","c1_match","c1_value"
"https://geoconnex.us/ref/hu08/03030003","https://reference.geoconnex.us/collections/hu08/items/03030003","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03030003?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03030004","https://reference.geoconnex.us/collections/hu08/items/03030004","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03030004?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03030005","https://reference.geoconnex.us/collections/hu08/items/03030005","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03030005?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03030006","https://reference.geoconnex.us/collections/hu08/items/03030006","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03030006?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03030007","https://reference.geoconnex.us/collections/hu08/items/03030007","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03030007?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03040101","https://reference.geoconnex.us/collections/hu08/items/03040101","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03040101?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03040102","https://reference.geoconnex.us/collections/hu08/items/03040102","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03040102?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03040103","https://reference.geoconnex.us/collections/hu08/items/03040103","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03040103?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03040104","https://reference.geoconnex.us/collections/hu08/items/03040104","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03040104?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03040105","https://reference.geoconnex.us/collections/hu08/items/03040105","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03040105?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03050102","https://reference.geoconnex.us/collections/hu08/items/03050102","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03050102?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/06010202","https://reference.geoconnex.us/collections/hu08/items/06010202","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/06010202?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/06010203","https://reference.geoconnex.us/collections/hu08/items/06010203","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/06010203?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/03050101","https://reference.geoconnex.us/collections/hu08/items/03050101","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/03050101?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/06010103","https://reference.geoconnex.us/collections/hu08/items/06010103","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/06010103?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/06010105","https://reference.geoconnex.us/collections/hu08/items/06010105","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/06010105?f=${C:f:1}"
"https://geoconnex.us/ref/hu08/06010106","https://reference.geoconnex.us/collections/hu08/items/06010106","dblodgett@usgs.gov","eight digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu08/items/06010106?f=${C:f:1}"
