id,target,creator,description
https://geoconnex.us/wyseo/gages/010266RS,https://features.internetofwater.dev/collections/wy/gages/items010266RS,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102BOUT,https://features.internetofwater.dev/collections/wy/gages/items0102BOUT,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102GOSH,https://features.internetofwater.dev/collections/wy/gages/items0102GOSH,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HC1D,https://features.internetofwater.dev/collections/wy/gages/items0102HC1D,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HRCK,https://features.internetofwater.dev/collections/wy/gages/items0102HRCK,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HRES,https://features.internetofwater.dev/collections/wy/gages/items0102HRES,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HS1N,https://features.internetofwater.dev/collections/wy/gages/items0102HS1N,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HSPO,https://features.internetofwater.dev/collections/wy/gages/items0102HSPO,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HSPR,https://features.internetofwater.dev/collections/wy/gages/items0102HSPR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102HUGH,https://features.internetofwater.dev/collections/wy/gages/items0102HUGH,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102LC1D,https://features.internetofwater.dev/collections/wy/gages/items0102LC1D,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0102SPIN,https://features.internetofwater.dev/collections/wy/gages/items0102SPIN,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106HAID,https://features.internetofwater.dev/collections/wy/gages/items0106HAID,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106KR,https://features.internetofwater.dev/collections/wy/gages/items0106KR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106KR-DS,https://features.internetofwater.dev/collections/wy/gages/items0106KR-DS,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106NSR,https://features.internetofwater.dev/collections/wy/gages/items0106NSR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106NSR-DS,https://features.internetofwater.dev/collections/wy/gages/items0106NSR-DS,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106SCR,https://features.internetofwater.dev/collections/wy/gages/items0106SCR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106SSCK,https://features.internetofwater.dev/collections/wy/gages/items0106SSCK,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106SSR,https://features.internetofwater.dev/collections/wy/gages/items0106SSR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0106SSR-DS,https://features.internetofwater.dev/collections/wy/gages/items0106SSR-DS,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107CCEN,https://features.internetofwater.dev/collections/wy/gages/items0107CCEN,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107CCR,https://features.internetofwater.dev/collections/wy/gages/items0107CCR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107CR,https://features.internetofwater.dev/collections/wy/gages/items0107CR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107HPE,https://features.internetofwater.dev/collections/wy/gages/items0107HPE,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107HPI,https://features.internetofwater.dev/collections/wy/gages/items0107HPI,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107WAGD,https://features.internetofwater.dev/collections/wy/gages/items0107WAGD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0107WOLD,https://features.internetofwater.dev/collections/wy/gages/items0107WOLD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0108FMC,https://features.internetofwater.dev/collections/wy/gages/items0108FMC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0108LSRD,https://features.internetofwater.dev/collections/wy/gages/items0108LSRD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0108SC01,https://features.internetofwater.dev/collections/wy/gages/items0108SC01,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0108SCS,https://features.internetofwater.dev/collections/wy/gages/items0108SCS,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0108TRO,https://features.internetofwater.dev/collections/wy/gages/items0108TRO,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0108WSC,https://features.internetofwater.dev/collections/wy/gages/items0108WSC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109BOS3,https://features.internetofwater.dev/collections/wy/gages/items0109BOS3,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109CC,https://features.internetofwater.dev/collections/wy/gages/items0109CC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109CHD,https://features.internetofwater.dev/collections/wy/gages/items0109CHD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109CKR,https://features.internetofwater.dev/collections/wy/gages/items0109CKR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109DC,https://features.internetofwater.dev/collections/wy/gages/items0109DC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109DCDR,https://features.internetofwater.dev/collections/wy/gages/items0109DCDR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109DCR,https://features.internetofwater.dev/collections/wy/gages/items0109DCR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109DRD,https://features.internetofwater.dev/collections/wy/gages/items0109DRD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109KR,https://features.internetofwater.dev/collections/wy/gages/items0109KR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109KRC,https://features.internetofwater.dev/collections/wy/gages/items0109KRC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109LDC,https://features.internetofwater.dev/collections/wy/gages/items0109LDC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109PR,https://features.internetofwater.dev/collections/wy/gages/items0109PR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109PRO,https://features.internetofwater.dev/collections/wy/gages/items0109PRO,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109SLR,https://features.internetofwater.dev/collections/wy/gages/items0109SLR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109TR,https://features.internetofwater.dev/collections/wy/gages/items0109TR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0109TTR,https://features.internetofwater.dev/collections/wy/gages/items0109TTR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0110BRIN,https://features.internetofwater.dev/collections/wy/gages/items0110BRIN,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0110BUCR,https://features.internetofwater.dev/collections/wy/gages/items0110BUCR,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0111BATE,https://features.internetofwater.dev/collections/wy/gages/items0111BATE,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114CCWY,https://features.internetofwater.dev/collections/wy/gages/items0114CCWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114FCWY,https://features.internetofwater.dev/collections/wy/gages/items0114FCWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114GCWY,https://features.internetofwater.dev/collections/wy/gages/items0114GCWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114GDWY,https://features.internetofwater.dev/collections/wy/gages/items0114GDWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114GDWY-2,https://features.internetofwater.dev/collections/wy/gages/items0114GDWY-2,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114GOWY,https://features.internetofwater.dev/collections/wy/gages/items0114GOWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114ICWY,https://features.internetofwater.dev/collections/wy/gages/items0114ICWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114KDWY,https://features.internetofwater.dev/collections/wy/gages/items0114KDWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114LCWY,https://features.internetofwater.dev/collections/wy/gages/items0114LCWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114NPWY,https://features.internetofwater.dev/collections/wy/gages/items0114NPWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114PFWY,https://features.internetofwater.dev/collections/wy/gages/items0114PFWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114PWDT,https://features.internetofwater.dev/collections/wy/gages/items0114PWDT,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114RCWY,https://features.internetofwater.dev/collections/wy/gages/items0114RCWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114RRDT,https://features.internetofwater.dev/collections/wy/gages/items0114RRDT,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0114TDWY,https://features.internetofwater.dev/collections/wy/gages/items0114TDWY,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0117ACFD,https://features.internetofwater.dev/collections/wy/gages/items0117ACFD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0117BCHC,https://features.internetofwater.dev/collections/wy/gages/items0117BCHC,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0117BCSD,https://features.internetofwater.dev/collections/wy/gages/items0117BCSD,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0117BRCK,https://features.internetofwater.dev/collections/wy/gages/items0117BRCK,ewiggans@lincolninst.edu,wyoming state gages
https://geoconnex.us/wyseo/gages/0117CDCK,https://features.internetofwater.dev/collections/wy/gages/items0117CDCK,ewiggans@lincolninst.edu,wyoming state gages
