"","id","target","creator","description"
"1","https://geoconnex.us/iow/sta-demo/station/TV-157","http://localhost:5000/collections/Things/items/2","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"2","https://geoconnex.us/iow/sta-demo/station/QU-100","http://localhost:5000/collections/Things/items/4","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"3","https://geoconnex.us/iow/sta-demo/station/QU-004","http://localhost:5000/collections/Things/items/5","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"4","https://geoconnex.us/iow/sta-demo/station/354235108170703","http://localhost:5000/collections/Things/items/6","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"5","https://geoconnex.us/iow/sta-demo/station/364934108242601","http://localhost:5000/collections/Things/items/8","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"6","https://geoconnex.us/iow/sta-demo/station/364826108234301","http://localhost:5000/collections/Things/items/9","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"7","https://geoconnex.us/iow/sta-demo/station/353659107564101","http://localhost:5000/collections/Things/items/11","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"8","https://geoconnex.us/iow/sta-demo/station/353700107563901","http://localhost:5000/collections/Things/items/12","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"9","https://geoconnex.us/iow/sta-demo/station/364255108053202","http://localhost:5000/collections/Things/items/13","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"10","https://geoconnex.us/iow/sta-demo/station/354915107191901","http://localhost:5000/collections/Things/items/14","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"11","https://geoconnex.us/iow/sta-demo/station/351821106333902","http://localhost:5000/collections/Things/items/16","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"12","https://geoconnex.us/iow/sta-demo/station/354056106215801","http://localhost:5000/collections/Things/items/17","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"13","https://geoconnex.us/iow/sta-demo/station/EB-220","http://localhost:5000/collections/Things/items/19","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"14","https://geoconnex.us/iow/sta-demo/station/353824106040902","http://localhost:5000/collections/Things/items/20","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"15","https://geoconnex.us/iow/sta-demo/station/353945105574502","http://localhost:5000/collections/Things/items/22","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"16","https://geoconnex.us/iow/sta-demo/station/SA-0034","http://localhost:5000/collections/Things/items/23","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"17","https://geoconnex.us/iow/sta-demo/station/351304107543701","http://localhost:5000/collections/Things/items/24","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"18","https://geoconnex.us/iow/sta-demo/station/350923107522701","http://localhost:5000/collections/Things/items/26","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"19","https://geoconnex.us/iow/sta-demo/station/SA-0076","http://localhost:5000/collections/Things/items/27","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"20","https://geoconnex.us/iow/sta-demo/station/350603107485801","http://localhost:5000/collections/Things/items/28","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"21","https://geoconnex.us/iow/sta-demo/station/350306107263401","http://localhost:5000/collections/Things/items/30","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"22","https://geoconnex.us/iow/sta-demo/station/MG-038","http://localhost:5000/collections/Things/items/31","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"23","https://geoconnex.us/iow/sta-demo/station/342107106530401","http://localhost:5000/collections/Things/items/32","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"24","https://geoconnex.us/iow/sta-demo/station/351040106482801","http://localhost:5000/collections/Things/items/34","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"25","https://geoconnex.us/iow/sta-demo/station/344431106393402","http://localhost:5000/collections/Things/items/35","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
"26","https://geoconnex.us/iow/sta-demo/station/350056106370102","http://localhost:5000/collections/Things/items/37","kyle.onda@duke.edu","URIs to demo pygeoapi STA provider"
